"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","Tags","Notes"
"T2T.CIS_BP_2.00_Homo_sapiens.RData","T2T CTCF motifs detected using human PWM matrices from http://cisbp.ccbr.utoronto.ca/, by FIMO","3.15","T2T","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Homo sapiens",9606,TRUE,"CIS-BP","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/T2T.CIS_BP_2.00_Homo_sapiens.RData","CTCF",""
"T2T.CTCFBSDB_PWM.RData","T2T CTCF motifs detected using PWM matrices from https://insulatordb.uthsc.edu/, by FIMO","3.15","T2T","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Homo sapiens",9606,TRUE,"CTCFBSDB 2.0","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/T2T.CTCFBSDB_PWM.RData","CTCF",""
"T2T.HOCOMOCOv11_core_HUMAN_mono_meme_format.RData","T2T CTCF motifs detected using human PWM matrices from https://hocomoco11.autosome.org/, by FIMO","3.15","T2T","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Homo sapiens",9606,TRUE,"HOCOMOCO v11","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/T2T.HOCOMOCOv11_core_HUMAN_mono_meme_format.RData","CTCF",""
"T2T.JASPAR2022_CORE_vertebrates_non_redundant_v2.RData","T2T CTCF motifs detected using human PWM matrices from https://jaspar.genereg.net/, by FIMO","3.15","T2T","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Homo sapiens",9606,TRUE,"JASPAR 2022","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/T2T.JASPAR2022_CORE_vertebrates_non_redundant_v2.RData","CTCF",""
"T2T.Jolma2013.RData","T2T CTCF motifs detected using PWM matrices from DOI:10.1016/j.cell.2012.12.009, by FIMO","3.15","T2T","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Homo sapiens",9606,TRUE,"Jolma 2013","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/T2T.Jolma2013.RData","CTCF",""
"T2T.MA0139.1.RData","T2T CTCF motifs detected using MA0139.1 PWM matrix from https://jaspar.genereg.net/, by FIMO","3.15","T2T","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Homo sapiens",9606,TRUE,"JASPAR 2022","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/T2T.MA0139.1.RData","CTCF",""
"T2T.SwissRegulon_human_and_mouse.RData","T2T CTCF motifs detected using PWM matrices from https://swissregulon.unibas.ch/sr/, by FIMO","3.15","T2T","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Homo sapiens",9606,TRUE,"SwissRegulon","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/T2T.SwissRegulon_human_and_mouse.RData","CTCF",""
"hg38.CIS_BP_2.00_Homo_sapiens.RData","hg38 CTCF motifs detected using human PWM matrices from http://cisbp.ccbr.utoronto.ca/, by FIMO","3.15","hg38","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Homo sapiens",9606,TRUE,"CIS-BP","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/hg38.CIS_BP_2.00_Homo_sapiens.RData","CTCF",""
"hg38.CTCFBSDB.CTCF_predicted_human.RData","hg38 CTCF predicted motifs from https://insulatordb.uthsc.edu/","3.15","hg38","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Homo sapiens",9606,TRUE,"CTCFBSDB 2.0","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/hg38.CTCFBSDB.CTCF_predicted_human.RData","CTCF",""
"hg38.CTCFBSDB_PWM.RData","hg38 CTCF motifs detected using PWM matrices from https://insulatordb.uthsc.edu/, by FIMO","3.15","hg38","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Homo sapiens",9606,TRUE,"CTCFBSDB 2.0","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/hg38.CTCFBSDB_PWM.RData","CTCF",""
