ID,Description,Genome,Species,Taxonomy,Data provider,All (p-value threshold 1e-4),Non-overlapping (p-value threshold 1e-4),All (p-value threshold 1e-6),Non-overlapping (p-value threshold 1e-6)
T2T.CIS_BP_2.00_Homo_sapiens.RData,"T2T CTCF motifs detected using human PWM matrices from http://cisbp.ccbr.utoronto.ca/, by FIMO",T2T,Homo sapiens,9606,CIS-BP," 85,004,288 "," 11,610,275 "," 1,642,859 "," 308,511 "
T2T.CTCFBSDB_PWM.RData,"T2T CTCF motifs detected using PWM matrices from https://insulatordb.uthsc.edu/, by FIMO",T2T,Homo sapiens,9606,CTCFBSDB 2.0," 5,385,530 "," 3,452,150 "," 98,088 "," 61,030 "
T2T.HOCOMOCOv11_core_HUMAN_mono_meme_format.RData,"T2T CTCF motifs detected using human PWM matrices from https://hocomoco11.autosome.org/, by FIMO",T2T,Homo sapiens,9606,HOCOMOCO v11," 927,477 "," 909,247 "," 21,491 "," 21,450 "
T2T.JASPAR2022_CORE_vertebrates_non_redundant_v2.RData,"T2T CTCF motifs detected using human PWM matrices from https://jaspar.genereg.net/, by FIMO",T2T,Homo sapiens,9606,JASPAR 2022," 3,196,774 "," 2,538,458 "," 75,126 "," 64,767 "
T2T.Jolma2013.RData,"T2T CTCF motifs detected using PWM matrices from DOI:10.1016/j.cell.2012.12.009, by FIMO",T2T,Homo sapiens,9606,Jolma 2013," 342,765 "," 341,669 "," 6,857 "," 6,857 "
T2T.MA0139.1.RData,"T2T CTCF motifs detected using MA0139.1 PWM matrix from https://jaspar.genereg.net/, by FIMO",T2T,Homo sapiens,9606,JASPAR 2022," 916,829 "," 905,231 "," 22,149 "," 22,131 "
T2T.SwissRegulon_human_and_mouse.RData,"T2T CTCF motifs detected using PWM matrices from https://swissregulon.unibas.ch/sr/, by FIMO",T2T,Homo sapiens,9606,SwissRegulon," 1,106,234 "," 1,094,142 "," 23,050 "," 23,006 "
hg38.CIS_BP_2.00_Homo_sapiens.RData,"hg38 CTCF motifs detected using human PWM matrices from http://cisbp.ccbr.utoronto.ca/, by FIMO",hg38,Homo sapiens,9606,CIS-BP," 82,804,664 "," 11,502,445 "," 1,612,042 "," 303,446 "
hg38.CTCFBSDB.CTCF_predicted_human.RData,hg38 CTCF predicted motifs from https://insulatordb.uthsc.edu/,hg38,Homo sapiens,9606,CTCFBSDB 2.0," 5,212,674 "," 3,343,301 "," 97,491 "," 60,648 "
hg38.CTCFBSDB_PWM.RData,"hg38 CTCF motifs detected using PWM matrices from https://insulatordb.uthsc.edu/, by FIMO",hg38,Homo sapiens,9606,CTCFBSDB 2.0," 13,357 "," 13,278 ", - , - 
hg38.HOCOMOCOv11_core_HUMAN_mono_meme_format.RData,"hg38 CTCF motifs detected using human PWM matrices from https://hocomoco11.autosome.org/, by FIMO",hg38,Homo sapiens,9606,HOCOMOCO v11," 891,816 "," 875,038 "," 21,020 "," 20,975 "
hg38.JASPAR2022_CORE_vertebrates_non_redundant_v2.RData,"hg38 CTCF motifs detected using human PWM matrices from https://jaspar.genereg.net/, by FIMO",hg38,Homo sapiens,9606,JASPAR 2022," 3,093,041 "," 2,456,234 "," 73,545 "," 63,572 "
